
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 5, 6, 16, 17, 22, 23, 3,  x: 0 y: 1, 
JointSetID:  1, |centerDistance: 0 |, conLinks:0, 1, 6, 7, 9, 10, 15, 12,  x: 0 y: 0, 
JointSetID:  2, |centerDistance: 1 |, conLinks:1, 2, 8, 9, 24, 30, 31, 27,  x: 1 y: 0, 
JointSetID:  5, |centerDistance: 3 |, conLinks:4, 53, 54, 62, 63, 64, 65, 99,  x: 1 y: 2, 
JointSetID:  6, |centerDistance: 2 |, conLinks:4, 5, 17, 18, 54, 55, 56, 59,  x: 0 y: 2, 
JointSetID:  9, |centerDistance: 1 |, conLinks:7, 14, 15, 20, 21, 33, 34, 36,  x: -1 y: 0, 
JointSetID:  10, |centerDistance: 2 |, conLinks:8, 29, 30, 46, 47, 48, 49, 71,  x: 1 y: -1, 
JointSetID:  13, |centerDistance: 1 |, conLinks:10, 11, 12, 13, 43, 45, 46, 48,  x: 0 y: -1, 
JointSetID:  14, |centerDistance: 2 |, conLinks:11, 42, 43, 80, 81, 93, 94, 28,  x: 0 y: -2, 
JointSetID:  17, |centerDistance: 2 |, conLinks:13, 14, 20, 44, 45, 82, 83, 87,  x: -1 y: -1, 
JointSetID:  20, |centerDistance: 2 |, conLinks:16, 21, 22, 32, 33, 38, 39, 19,  x: -1 y: 1, 
JointSetID:  29, |centerDistance: 2 |, conLinks:23, 2, 3, 24, 25, 61, 62, 64,  x: 1 y: 1, 
JointSetID:  32, |centerDistance: 3 |, conLinks:25, 26, 60, 61, 72, 66, 67, 75,  x: 2 y: 1, 
JointSetID:  36, |centerDistance: 3 |, conLinks:28, 29, 49, 50, 94, 95, 40, 123,  x: 1 y: -2, 
JointSetID:  39, |centerDistance: 2 |, conLinks:31, 26, 27, 72, 73, 69, 70, 76,  x: 2 y: 0, 
JointSetID:  40, |centerDistance: 3 |, conLinks:32, 37, 38, 84, 85, 118, 119, 103,  x: -2 y: 1, 
JointSetID:  43, |centerDistance: 2 |, conLinks:34, 35, 36, 37, 91, 85, 86, 88,  x: -2 y: 0, 
JointSetID:  44, |centerDistance: 3 |, conLinks:35, 90, 91, 116, 117, 145, 146, 148,  x: -3 y: 0, 
JointSetID:  49, |centerDistance: 3 |, conLinks:39, 18, 19, 56, 57, 101, 102, 104,  x: -1 y: 2, 
JointSetID:  52, |centerDistance: 3 |, conLinks:41, 42, 80, 152, 153, 158, 159, 143,  x: 0 y: -3, 
JointSetID:  55, |centerDistance: 3 |, conLinks:44, 81, 82, 92, 93, 134, 135, 139,  x: -1 y: -2, 
JointSetID:  59, |centerDistance: 3 |, conLinks:47, 70, 71, 76, 77, 121, 122, 124,  x: 2 y: -1, 
JointSetID:  63, |centerDistance: 4 |, conLinks:50, 51, 40, 41, 153, 154,  x: 1 y: -3, 
JointSetID:  64, |centerDistance: 3 |, conLinks:51, 
JointSetID:  65, |centerDistance: 1000000000 |, conLinks:52, 
JointSetID:  66, |centerDistance: 4 |, conLinks:52, 53, 65, 66, 60,  x: 2 y: 2, 
JointSetID:  69, |centerDistance: 3 |, conLinks:55, 58, 59, 108, 109, 97, 98, 112,  x: 0 y: 3, 
JointSetID:  72, |centerDistance: 4 |, conLinks:57, 58, 100, 101, 108,  x: -1 y: 3, 
JointSetID:  79, |centerDistance: 4 |, conLinks:63, 98, 99, 112, 113,  x: 1 y: 3, 
JointSetID:  84, |centerDistance: 4 |, conLinks:67, 74, 75, 128, 129,  x: 3 y: 1, 
JointSetID:  92, |centerDistance: 3 |, conLinks:73, 74, 68, 69, 128, 78, 79, 131,  x: 3 y: 0, 
JointSetID:  97, |centerDistance: 4 |, conLinks:77, 78, 120, 121, 68,  x: 3 y: -1, 
JointSetID:  99, |centerDistance: 4 |, conLinks:79, 130, 131,  x: 4 y: 0, 
JointSetID:  104, |centerDistance: 3 |, conLinks:83, 86, 87, 88, 89, 137, 138, 140,  x: -2 y: -1, 
JointSetID:  105, |centerDistance: 4 |, conLinks:84, 117, 118, 144, 145,  x: -3 y: 1, 
JointSetID:  112, |centerDistance: 4 |, conLinks:89, 90, 136, 137, 116,  x: -3 y: -1, 
JointSetID:  115, |centerDistance: 4 |, conLinks:92, 133, 134, 159, 142, 143,  x: -1 y: -3, 
JointSetID:  119, |centerDistance: 4 |, conLinks:95, 122, 123, 124, 125,  x: 2 y: -2, 
JointSetID:  120, |centerDistance: 1000000000 |, conLinks:96, 
JointSetID:  125, |centerDistance: 1000000000 |, conLinks:100, 
JointSetID:  128, |centerDistance: 4 |, conLinks:102, 103, 104, 105, 119,  x: -2 y: 2, 
JointSetID:  132, |centerDistance: 1000000000 |, conLinks:105, 106, 
JointSetID:  133, |centerDistance: 1000000000 |, conLinks:106, 107, 
JointSetID:  134, |centerDistance: 4 |, conLinks:107, 
JointSetID:  137, |centerDistance: 4 |, conLinks:109, 110, 96, 97,  x: 0 y: 4, 
JointSetID:  138, |centerDistance: 1000000000 |, conLinks:110, 111, 
JointSetID:  139, |centerDistance: 1000000000 |, conLinks:111, 
JointSetID:  142, |centerDistance: 1000000000 |, conLinks:113, 114, 
JointSetID:  143, |centerDistance: 1000000000 |, conLinks:114, 115, 
JointSetID:  144, |centerDistance: 1000000000 |, conLinks:115, 
JointSetID:  150, |centerDistance: 1000000000 |, conLinks:120, 
JointSetID:  157, |centerDistance: 1000000000 |, conLinks:125, 126, 
JointSetID:  158, |centerDistance: 1000000000 |, conLinks:126, 127, 
JointSetID:  159, |centerDistance: 1000000000 |, conLinks:127, 
JointSetID:  162, |centerDistance: 1000000000 |, conLinks:129, 130,  x: 4 y: 1, 
JointSetID:  165, |centerDistance: 1000000000 |, conLinks:132, 
JointSetID:  166, |centerDistance: 1000000000 |, conLinks:132, 133,  x: -1 y: -4, 
JointSetID:  169, |centerDistance: 4 |, conLinks:135, 138, 139, 140, 141,  x: -2 y: -2, 
JointSetID:  170, |centerDistance: 1000000000 |, conLinks:136, 
JointSetID:  177, |centerDistance: 1000000000 |, conLinks:141, 142,  x: -2 y: -3, 
JointSetID:  180, |centerDistance: 1000000000 |, conLinks:144, 
JointSetID:  183, |centerDistance: 4 |, conLinks:146, 147, 148, 149,  x: -4 y: 0, 
JointSetID:  184, |centerDistance: 1000000000 |, conLinks:147, 
JointSetID:  187, |centerDistance: 1000000000 |, conLinks:149, 150, 
JointSetID:  188, |centerDistance: 1000000000 |, conLinks:150, 151, 
JointSetID:  189, |centerDistance: 1000000000 |, conLinks:151, 
JointSetID:  190, |centerDistance: 4 |, conLinks:152, 157, 158,  x: 0 y: -4, 
JointSetID:  193, |centerDistance: 1000000000 |, conLinks:154, 155, 
JointSetID:  194, |centerDistance: 1000000000 |, conLinks:155, 
JointSetID:  195, |centerDistance: 1000000000 |, conLinks:156, 
JointSetID:  196, |centerDistance: 1000000000 |, conLinks:156, 157, 
LinkID: 0, pJointSet:0, nJointSet:1, boundPair:6, chainType:0, linkType:0, embeded:1
LinkID: 1, pJointSet:1, nJointSet:2, boundPair:9, chainType:0, linkType:1, embeded:1
LinkID: 2, pJointSet:2, nJointSet:29, boundPair:24, chainType:0, linkType:2, embeded:1
LinkID: 3, pJointSet:29, nJointSet:0, boundPair:23, chainType:0, linkType:3, embeded:1
LinkID: 4, pJointSet:5, nJointSet:6, boundPair:54, chainType:0, linkType:0, embeded:1
LinkID: 5, pJointSet:6, nJointSet:0, boundPair:17, chainType:0, linkType:1, embeded:1
LinkID: 6, pJointSet:0, nJointSet:1, boundPair:0, chainType:0, linkType:2, embeded:1
LinkID: 7, pJointSet:1, nJointSet:9, boundPair:15, chainType:0, linkType:3, embeded:1
LinkID: 8, pJointSet:10, nJointSet:2, boundPair:30, chainType:0, linkType:0, embeded:1
LinkID: 9, pJointSet:2, nJointSet:1, boundPair:1, chainType:0, linkType:1, embeded:1
LinkID: 10, pJointSet:1, nJointSet:13, boundPair:12, chainType:0, linkType:2, embeded:1
LinkID: 11, pJointSet:13, nJointSet:14, boundPair:43, chainType:0, linkType:3, embeded:1
LinkID: 12, pJointSet:1, nJointSet:13, boundPair:10, chainType:0, linkType:0, embeded:1
LinkID: 13, pJointSet:13, nJointSet:17, boundPair:45, chainType:0, linkType:1, embeded:1
LinkID: 14, pJointSet:17, nJointSet:9, boundPair:20, chainType:0, linkType:2, embeded:1
LinkID: 15, pJointSet:9, nJointSet:1, boundPair:7, chainType:0, linkType:3, embeded:1
LinkID: 16, pJointSet:20, nJointSet:0, boundPair:22, chainType:0, linkType:0, embeded:1
LinkID: 17, pJointSet:0, nJointSet:6, boundPair:5, chainType:0, linkType:1, embeded:1
LinkID: 18, pJointSet:6, nJointSet:49, boundPair:56, chainType:0, linkType:2, embeded:1
LinkID: 19, pJointSet:49, nJointSet:20, boundPair:39, chainType:0, linkType:3, embeded:1
LinkID: 20, pJointSet:17, nJointSet:9, boundPair:14, chainType:0, linkType:0, embeded:1
LinkID: 21, pJointSet:9, nJointSet:20, boundPair:33, chainType:0, linkType:1, embeded:1
LinkID: 22, pJointSet:20, nJointSet:0, boundPair:16, chainType:0, linkType:2, embeded:1
LinkID: 23, pJointSet:0, nJointSet:29, boundPair:3, chainType:0, linkType:3, embeded:1
LinkID: 24, pJointSet:2, nJointSet:29, boundPair:2, chainType:0, linkType:0, embeded:1
LinkID: 25, pJointSet:29, nJointSet:32, boundPair:61, chainType:0, linkType:1, embeded:1
LinkID: 26, pJointSet:32, nJointSet:39, boundPair:72, chainType:0, linkType:2, embeded:1
LinkID: 27, pJointSet:39, nJointSet:2, boundPair:31, chainType:0, linkType:3, embeded:1
LinkID: 28, pJointSet:14, nJointSet:36, boundPair:94, chainType:0, linkType:0, embeded:1
LinkID: 29, pJointSet:36, nJointSet:10, boundPair:49, chainType:0, linkType:1, embeded:1
LinkID: 30, pJointSet:10, nJointSet:2, boundPair:8, chainType:0, linkType:2, embeded:1
LinkID: 31, pJointSet:2, nJointSet:39, boundPair:27, chainType:0, linkType:3, embeded:1
LinkID: 32, pJointSet:40, nJointSet:20, boundPair:38, chainType:0, linkType:0, embeded:1
LinkID: 33, pJointSet:20, nJointSet:9, boundPair:21, chainType:0, linkType:1, embeded:1
LinkID: 34, pJointSet:9, nJointSet:43, boundPair:36, chainType:0, linkType:2, embeded:1
LinkID: 35, pJointSet:43, nJointSet:44, boundPair:91, chainType:0, linkType:3, embeded:1
LinkID: 36, pJointSet:9, nJointSet:43, boundPair:34, chainType:0, linkType:0, embeded:1
LinkID: 37, pJointSet:43, nJointSet:40, boundPair:85, chainType:0, linkType:1, embeded:1
LinkID: 38, pJointSet:40, nJointSet:20, boundPair:32, chainType:0, linkType:2, embeded:1
LinkID: 39, pJointSet:20, nJointSet:49, boundPair:19, chainType:0, linkType:3, embeded:1
LinkID: 40, pJointSet:36, nJointSet:63, boundPair:50, chainType:0, linkType:0, embeded:1
LinkID: 41, pJointSet:63, nJointSet:52, boundPair:153, chainType:0, linkType:1, embeded:1
LinkID: 42, pJointSet:52, nJointSet:14, boundPair:80, chainType:0, linkType:2, embeded:1
LinkID: 43, pJointSet:14, nJointSet:13, boundPair:11, chainType:0, linkType:3, embeded:1
LinkID: 44, pJointSet:55, nJointSet:17, boundPair:82, chainType:0, linkType:0, embeded:1
LinkID: 45, pJointSet:17, nJointSet:13, boundPair:13, chainType:0, linkType:1, embeded:1
LinkID: 46, pJointSet:13, nJointSet:10, boundPair:48, chainType:0, linkType:2, embeded:1
LinkID: 47, pJointSet:10, nJointSet:59, boundPair:71, chainType:0, linkType:3, embeded:1
LinkID: 48, pJointSet:13, nJointSet:10, boundPair:46, chainType:0, linkType:0, embeded:1
LinkID: 49, pJointSet:10, nJointSet:36, boundPair:29, chainType:0, linkType:1, embeded:1
LinkID: 50, pJointSet:36, nJointSet:63, boundPair:40, chainType:0, linkType:2, embeded:1
LinkID: 51, pJointSet:63, nJointSet:64, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 52, pJointSet:65, nJointSet:66, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 53, pJointSet:66, nJointSet:5, boundPair:65, chainType:0, linkType:1, embeded:1
LinkID: 54, pJointSet:5, nJointSet:6, boundPair:4, chainType:0, linkType:2, embeded:1
LinkID: 55, pJointSet:6, nJointSet:69, boundPair:59, chainType:0, linkType:3, embeded:1
LinkID: 56, pJointSet:6, nJointSet:49, boundPair:18, chainType:0, linkType:0, embeded:1
LinkID: 57, pJointSet:49, nJointSet:72, boundPair:101, chainType:0, linkType:1, embeded:1
LinkID: 58, pJointSet:72, nJointSet:69, boundPair:108, chainType:0, linkType:2, embeded:1
LinkID: 59, pJointSet:69, nJointSet:6, boundPair:55, chainType:0, linkType:3, embeded:1
LinkID: 60, pJointSet:66, nJointSet:32, boundPair:66, chainType:0, linkType:0, embeded:1
LinkID: 61, pJointSet:32, nJointSet:29, boundPair:25, chainType:0, linkType:1, embeded:1
LinkID: 62, pJointSet:29, nJointSet:5, boundPair:64, chainType:0, linkType:2, embeded:1
LinkID: 63, pJointSet:5, nJointSet:79, boundPair:99, chainType:0, linkType:3, embeded:1
LinkID: 64, pJointSet:29, nJointSet:5, boundPair:62, chainType:0, linkType:0, embeded:1
LinkID: 65, pJointSet:5, nJointSet:66, boundPair:53, chainType:0, linkType:1, embeded:1
LinkID: 66, pJointSet:66, nJointSet:32, boundPair:60, chainType:0, linkType:2, embeded:1
LinkID: 67, pJointSet:32, nJointSet:84, boundPair:75, chainType:0, linkType:3, embeded:1
LinkID: 68, pJointSet:97, nJointSet:92, boundPair:78, chainType:0, linkType:0, embeded:1
LinkID: 69, pJointSet:92, nJointSet:39, boundPair:73, chainType:0, linkType:1, embeded:1
