
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 5, 6, 18, 19, 20, 21, 3,  x: 0 y: -1, 
JointSetID:  1, |centerDistance: 0 |, conLinks:0, 1, 6, 7, 11, 13, 14, 8,  x: 0 y: 0, 
JointSetID:  2, |centerDistance: 1 |, conLinks:1, 2, 10, 11, 24, 28, 29, 27,  x: 1 y: 0, 
JointSetID:  9, |centerDistance: 1 |, conLinks:7, 12, 13, 34, 35, 37, 38, 4,  x: -1 y: 0, 
JointSetID:  12, |centerDistance: 2 |, conLinks:9, 10, 28, 46, 47, 68, 69, 31,  x: 1 y: 1, 
JointSetID:  15, |centerDistance: 2 |, conLinks:12, 33, 34, 42, 43, 48, 49, 83,  x: -1 y: 1, 
JointSetID:  18, |centerDistance: 1 |, conLinks:14, 15, 8, 9, 41, 42, 47, 48,  x: 0 y: 1, 
JointSetID:  19, |centerDistance: 2 |, conLinks:15, 40, 41, 90, 91, 93, 94, 32,  x: 0 y: 2, 
JointSetID:  22, |centerDistance: 2 |, conLinks:17, 18, 20, 58, 59, 60, 61, 23,  x: 0 y: -2, 
JointSetID:  27, |centerDistance: 2 |, conLinks:21, 22, 2, 3, 24, 25, 64, 67,  x: 1 y: -1, 
JointSetID:  28, |centerDistance: 3 |, conLinks:22, 23, 61, 62, 64, 65, 112, 115,  x: 1 y: -2, 
JointSetID:  32, |centerDistance: 3 |, conLinks:25, 26, 66, 67, 76, 116, 117, 79,  x: 2 y: -1, 
JointSetID:  37, |centerDistance: 2 |, conLinks:29, 30, 26, 27, 72, 76, 77, 75,  x: 2 y: 0, 
JointSetID:  41, |centerDistance: 3 |, conLinks:32, 33, 43, 94, 95, 137, 138, 88,  x: -1 y: 2, 
JointSetID:  44, |centerDistance: 2 |, conLinks:35, 36, 37, 50, 51, 85, 86, 52,  x: -2 y: 0, 
JointSetID:  45, |centerDistance: 3 |, conLinks:36, 49, 50, 82, 83, 140, 141, 147,  x: -2 y: 1, 
JointSetID:  48, |centerDistance: 2 |, conLinks:38, 39, 4, 5, 19, 53, 54, 16,  x: -1 y: -1, 
JointSetID:  49, |centerDistance: 3 |, conLinks:39, 52, 53, 86, 87, 97, 98, 100,  x: -2 y: -1, 
JointSetID:  50, |centerDistance: 3 |, conLinks:40, 89, 90, 154, 155, 120, 121, 159,  x: 0 y: 3, 
JointSetID:  57, |centerDistance: 3 |, conLinks:45, 46, 68, 91, 92, 93, 122, 123,  x: 1 y: 2, 
JointSetID:  64, |centerDistance: 3 |, conLinks:51, 84, 85, 142, 143, 149, 150, 96,  x: -3 y: 0, 
JointSetID:  68, |centerDistance: 3 |, conLinks:54, 55, 16, 17, 59, 101, 102, 56,  x: -1 y: -2, 
JointSetID:  69, |centerDistance: 4 |, conLinks:55, 98, 99, 100, 101,  x: -2 y: -2, 
JointSetID:  72, |centerDistance: 3 |, conLinks:57, 58, 60, 106, 107, 108, 109, 63,  x: 0 y: -3, 
JointSetID:  78, |centerDistance: 4 |, conLinks:62, 63, 109, 110, 112, 113,  x: 1 y: -3, 
JointSetID:  82, |centerDistance: 4 |, conLinks:65, 66, 114, 115, 116,  x: 2 y: -2, 
JointSetID:  87, |centerDistance: 3 |, conLinks:69, 70, 30, 31, 72, 73, 44, 127,  x: 2 y: 1, 
JointSetID:  88, |centerDistance: 4 |, conLinks:70, 71, 44, 45, 123,  x: 2 y: 2, 
JointSetID:  89, |centerDistance: 1000000000 |, conLinks:71, 
JointSetID:  92, |centerDistance: 4 |, conLinks:73, 74, 126, 127, 132,  x: 3 y: 1, 
JointSetID:  97, |centerDistance: 3 |, conLinks:77, 78, 74, 75, 128, 132, 133, 131,  x: 3 y: 0, 
JointSetID:  100, |centerDistance: 1000000000 |, conLinks:80, 
JointSetID:  101, |centerDistance: 1000000000 |, conLinks:80, 81, 
JointSetID:  105, |centerDistance: 4 |, conLinks:84, 141, 142, 146, 147,  x: -3 y: 1, 
JointSetID:  109, |centerDistance: 4 |, conLinks:87, 96, 97, 150, 151,  x: -3 y: -1, 
JointSetID:  115, |centerDistance: 4 |, conLinks:92, 121, 122, 158, 159,  x: 1 y: 3, 
JointSetID:  119, |centerDistance: 4 |, conLinks:95, 136, 137, 81, 82, 140,  x: -2 y: 2, 
JointSetID:  124, |centerDistance: 1000000000 |, conLinks:99, 
JointSetID:  128, |centerDistance: 4 |, conLinks:102, 103, 56, 57, 107,  x: -1 y: -3, 
JointSetID:  129, |centerDistance: 1000000000 |, conLinks:103, 
JointSetID:  130, |centerDistance: 1000000000 |, conLinks:104, 
JointSetID:  131, |centerDistance: 1000000000 |, conLinks:104, 105, 
JointSetID:  132, |centerDistance: 4 |, conLinks:105, 106, 108,  x: 0 y: -4, 
JointSetID:  138, |centerDistance: 1000000000 |, conLinks:110, 111,  x: 1 y: -4, 
JointSetID:  139, |centerDistance: 1000000000 |, conLinks:111, 
JointSetID:  142, |centerDistance: 1000000000 |, conLinks:113, 114,  x: 2 y: -3, 
JointSetID:  147, |centerDistance: 4 |, conLinks:117, 118, 78, 79, 128, 129,  x: 3 y: -1, 
JointSetID:  148, |centerDistance: 1000000000 |, conLinks:118, 119,  x: 3 y: -2, 
JointSetID:  149, |centerDistance: 1000000000 |, conLinks:119, 
JointSetID:  155, |centerDistance: 1000000000 |, conLinks:124, 
JointSetID:  156, |centerDistance: 1000000000 |, conLinks:124, 125, 
JointSetID:  157, |centerDistance: 1000000000 |, conLinks:125, 126, 
JointSetID:  162, |centerDistance: 1000000000 |, conLinks:129, 130,  x: 4 y: -1, 
JointSetID:  167, |centerDistance: 4 |, conLinks:133, 134, 130, 131,  x: 4 y: 0, 
JointSetID:  168, |centerDistance: 1000000000 |, conLinks:134, 135, 
JointSetID:  169, |centerDistance: 1000000000 |, conLinks:135, 
JointSetID:  170, |centerDistance: 1000000000 |, conLinks:136, 
JointSetID:  173, |centerDistance: 4 |, conLinks:138, 139, 88, 89, 155,  x: -1 y: 3, 
JointSetID:  174, |centerDistance: 1000000000 |, conLinks:139, 
JointSetID:  179, |centerDistance: 4 |, conLinks:143, 148, 149,  x: -4 y: 0, 
JointSetID:  180, |centerDistance: 1000000000 |, conLinks:144, 
JointSetID:  181, |centerDistance: 1000000000 |, conLinks:144, 145, 
JointSetID:  182, |centerDistance: 1000000000 |, conLinks:145, 146, 
JointSetID:  185, |centerDistance: 1000000000 |, conLinks:148, 
JointSetID:  189, |centerDistance: 1000000000 |, conLinks:151, 
JointSetID:  190, |centerDistance: 1000000000 |, conLinks:152, 
JointSetID:  191, |centerDistance: 1000000000 |, conLinks:152, 153, 
JointSetID:  192, |centerDistance: 4 |, conLinks:153, 154, 120,  x: 0 y: 4, 
JointSetID:  195, |centerDistance: 1000000000 |, conLinks:156, 
JointSetID:  196, |centerDistance: 1000000000 |, conLinks:156, 157, 
JointSetID:  197, |centerDistance: 1000000000 |, conLinks:157, 158, 
LinkID: 0, pJointSet:0, nJointSet:1, boundPair:6, chainType:0, linkType:0, embeded:1
LinkID: 1, pJointSet:1, nJointSet:2, boundPair:11, chainType:0, linkType:1, embeded:1
LinkID: 2, pJointSet:2, nJointSet:27, boundPair:24, chainType:0, linkType:2, embeded:1
LinkID: 3, pJointSet:27, nJointSet:0, boundPair:21, chainType:0, linkType:3, embeded:1
LinkID: 4, pJointSet:9, nJointSet:48, boundPair:38, chainType:0, linkType:0, embeded:1
LinkID: 5, pJointSet:48, nJointSet:0, boundPair:19, chainType:0, linkType:1, embeded:1
LinkID: 6, pJointSet:0, nJointSet:1, boundPair:0, chainType:0, linkType:2, embeded:1
LinkID: 7, pJointSet:1, nJointSet:9, boundPair:13, chainType:0, linkType:3, embeded:1
LinkID: 8, pJointSet:1, nJointSet:18, boundPair:14, chainType:0, linkType:0, embeded:1
LinkID: 9, pJointSet:18, nJointSet:12, boundPair:47, chainType:0, linkType:1, embeded:1
LinkID: 10, pJointSet:12, nJointSet:2, boundPair:28, chainType:0, linkType:2, embeded:1
LinkID: 11, pJointSet:2, nJointSet:1, boundPair:1, chainType:0, linkType:3, embeded:1
LinkID: 12, pJointSet:15, nJointSet:9, boundPair:34, chainType:0, linkType:0, embeded:1
LinkID: 13, pJointSet:9, nJointSet:1, boundPair:7, chainType:0, linkType:1, embeded:1
LinkID: 14, pJointSet:1, nJointSet:18, boundPair:8, chainType:0, linkType:2, embeded:1
LinkID: 15, pJointSet:18, nJointSet:19, boundPair:41, chainType:0, linkType:3, embeded:1
LinkID: 16, pJointSet:48, nJointSet:68, boundPair:54, chainType:0, linkType:0, embeded:1
LinkID: 17, pJointSet:68, nJointSet:22, boundPair:59, chainType:0, linkType:1, embeded:1
LinkID: 18, pJointSet:22, nJointSet:0, boundPair:20, chainType:0, linkType:2, embeded:1
LinkID: 19, pJointSet:0, nJointSet:48, boundPair:5, chainType:0, linkType:3, embeded:1
LinkID: 20, pJointSet:22, nJointSet:0, boundPair:18, chainType:0, linkType:0, embeded:1
LinkID: 21, pJointSet:0, nJointSet:27, boundPair:3, chainType:0, linkType:1, embeded:1
LinkID: 22, pJointSet:27, nJointSet:28, boundPair:64, chainType:0, linkType:2, embeded:1
LinkID: 23, pJointSet:28, nJointSet:22, boundPair:61, chainType:0, linkType:3, embeded:1
LinkID: 24, pJointSet:2, nJointSet:27, boundPair:2, chainType:0, linkType:0, embeded:1
LinkID: 25, pJointSet:27, nJointSet:32, boundPair:67, chainType:0, linkType:1, embeded:1
LinkID: 26, pJointSet:32, nJointSet:37, boundPair:76, chainType:0, linkType:2, embeded:1
LinkID: 27, pJointSet:37, nJointSet:2, boundPair:29, chainType:0, linkType:3, embeded:1
LinkID: 28, pJointSet:12, nJointSet:2, boundPair:10, chainType:0, linkType:0, embeded:1
LinkID: 29, pJointSet:2, nJointSet:37, boundPair:27, chainType:0, linkType:1, embeded:1
LinkID: 30, pJointSet:37, nJointSet:87, boundPair:72, chainType:0, linkType:2, embeded:1
LinkID: 31, pJointSet:87, nJointSet:12, boundPair:69, chainType:0, linkType:3, embeded:1
LinkID: 32, pJointSet:19, nJointSet:41, boundPair:94, chainType:0, linkType:0, embeded:1
LinkID: 33, pJointSet:41, nJointSet:15, boundPair:43, chainType:0, linkType:1, embeded:1
LinkID: 34, pJointSet:15, nJointSet:9, boundPair:12, chainType:0, linkType:2, embeded:1
LinkID: 35, pJointSet:9, nJointSet:44, boundPair:37, chainType:0, linkType:3, embeded:1
LinkID: 36, pJointSet:45, nJointSet:44, boundPair:50, chainType:0, linkType:0, embeded:1
LinkID: 37, pJointSet:44, nJointSet:9, boundPair:35, chainType:0, linkType:1, embeded:1
LinkID: 38, pJointSet:9, nJointSet:48, boundPair:4, chainType:0, linkType:2, embeded:1
LinkID: 39, pJointSet:48, nJointSet:49, boundPair:53, chainType:0, linkType:3, embeded:1
LinkID: 40, pJointSet:50, nJointSet:19, boundPair:90, chainType:0, linkType:0, embeded:1
LinkID: 41, pJointSet:19, nJointSet:18, boundPair:15, chainType:0, linkType:1, embeded:1
LinkID: 42, pJointSet:18, nJointSet:15, boundPair:48, chainType:0, linkType:2, embeded:1
LinkID: 43, pJointSet:15, nJointSet:41, boundPair:33, chainType:0, linkType:3, embeded:1
LinkID: 44, pJointSet:87, nJointSet:88, boundPair:70, chainType:0, linkType:0, embeded:1
LinkID: 45, pJointSet:88, nJointSet:57, boundPair:123, chainType:0, linkType:1, embeded:1
LinkID: 46, pJointSet:57, nJointSet:12, boundPair:68, chainType:0, linkType:2, embeded:1
LinkID: 47, pJointSet:12, nJointSet:18, boundPair:9, chainType:0, linkType:3, embeded:1
LinkID: 48, pJointSet:18, nJointSet:15, boundPair:42, chainType:0, linkType:0, embeded:1
LinkID: 49, pJointSet:15, nJointSet:45, boundPair:83, chainType:0, linkType:1, embeded:1
LinkID: 50, pJointSet:45, nJointSet:44, boundPair:36, chainType:0, linkType:2, embeded:1
LinkID: 51, pJointSet:44, nJointSet:64, boundPair:85, chainType:0, linkType:3, embeded:1
LinkID: 52, pJointSet:44, nJointSet:49, boundPair:86, chainType:0, linkType:0, embeded:1
LinkID: 53, pJointSet:49, nJointSet:48, boundPair:39, chainType:0, linkType:1, embeded:1
LinkID: 54, pJointSet:48, nJointSet:68, boundPair:16, chainType:0, linkType:2, embeded:1
LinkID: 55, pJointSet:68, nJointSet:69, boundPair:101, chainType:0, linkType:3, embeded:1
LinkID: 56, pJointSet:68, nJointSet:128, boundPair:102, chainType:0, linkType:0, embeded:1
LinkID: 57, pJointSet:128, nJointSet:72, boundPair:107, chainType:0, linkType:1, embeded:1
LinkID: 58, pJointSet:72, nJointSet:22, boundPair:60, chainType:0, linkType:2, embeded:1
LinkID: 59, pJointSet:22, nJointSet:68, boundPair:17, chainType:0, linkType:3, embeded:1
LinkID: 60, pJointSet:72, nJointSet:22, boundPair:58, chainType:0, linkType:0, embeded:1
LinkID: 61, pJointSet:22, nJointSet:28, boundPair:23, chainType:0, linkType:1, embeded:1
LinkID: 62, pJointSet:28, nJointSet:78, boundPair:112, chainType:0, linkType:2, embeded:1
LinkID: 63, pJointSet:78, nJointSet:72, boundPair:109, chainType:0, linkType:3, embeded:1
LinkID: 64, pJointSet:27, nJointSet:28, boundPair:22, chainType:0, linkType:0, embeded:1
LinkID: 65, pJointSet:28, nJointSet:82, boundPair:115, chainType:0, linkType:1, embeded:1
LinkID: 66, pJointSet:82, nJointSet:32, boundPair:116, chainType:0, linkType:2, embeded:1
LinkID: 67, pJointSet:32, nJointSet:27, boundPair:25, chainType:0, linkType:3, embeded:1
LinkID: 68, pJointSet:57, nJointSet:12, boundPair:46, chainType:0, linkType:0, embeded:1
LinkID: 69, pJointSet:12, nJointSet:87, boundPair:31, chainType:0, linkType:1, embeded:1
LinkID: 70, pJointSet:87, nJointSet:88, boundPair:44, chainType:0, linkType:2, embeded:1
LinkID: 71, pJointSet:88, nJointSet:89, boundPair:-1, chainType:0, linkType:3, embeded:0
LinkID: 72, pJointSet:37, nJointSet:87, boundPair:30, chainType:0, linkType:0, embeded:1
LinkID: 73, pJointSet:87, nJointSet:92, boundPair:127, chainType:0, linkType:1, embeded:1
LinkID: 74, pJointSet:92, nJointSet:97, boundPair:132, chainType:0, linkType:2, embeded:1
LinkID: 75, pJointSet:97, nJointSet:37, boundPair:77, chainType:0, linkType:3, embeded:1
LinkID: 76, pJointSet:32, nJointSet:37, boundPair:26, chainType:0, linkType:0, embeded:1
LinkID: 77, pJointSet:37, nJointSet:97, boundPair:75, chainType:0, linkType:1, embeded:1
LinkID: 78, pJointSet:97, nJointSet:147, boundPair:128, chainType:0, linkType:2, embeded:1
LinkID: 79, pJointSet:147, nJointSet:32, boundPair:117, chainType:0, linkType:3, embeded:1
LinkID: 80, pJointSet:100, nJointSet:101, boundPair:-1, chainType:0, linkType:0, embeded:0
LinkID: 81, pJointSet:101, nJointSet:119, boundPair:-1, chainType:0, linkType:1, embeded:0
LinkID: 82, pJointSet:119, nJointSet:45, boundPair:140, chainType:0, linkType:2, embeded:1
LinkID: 83, pJointSet:45, nJointSet:15, boundPair:49, chainType:0, linkType:3, embeded:1
LinkID: 84, pJointSet:105, nJointSet:64, boundPair:142, chainType:0, linkType:0, embeded:1
LinkID: 85, pJointSet:64, nJointSet:44, boundPair:51, chainType:0, linkType:1, embeded:1
LinkID: 86, pJointSet:44, nJointSet:49, boundPair:52, chainType:0, linkType:2, embeded:1
LinkID: 87, pJointSet:49, nJointSet:109, boundPair:97, chainType:0, linkType:3, embeded:1
LinkID: 88, pJointSet:41, nJointSet:173, boundPair:138, chainType:0, linkType:0, embeded:1
LinkID: 89, pJointSet:173, nJointSet:50, boundPair:155, chainType:0, linkType:1, embeded:1
LinkID: 90, pJointSet:50, nJointSet:19, boundPair:40, chainType:0, linkType:2, embeded:1
