
 GRAPH 
 
 JointSets: 
JointSetID:  0, |centerDistance: 1 |, conLinks:0, 4, 5, 17, 18, 20, 21, 3,  x: 0 y: -1, 
JointSetID:  1, |centerDistance: 0 |, conLinks:0, 1, 5, 6, 11, 12, 13, 8,  x: 0 y: 0, 
JointSetID:  2, |centerDistance: 1 |, conLinks:1, 2, 10, 11, 26, 27, 31, 28,  x: 1 y: 0, 
JointSetID:  5, |centerDistance: 2 |, conLinks:4, 18, 19, 49, 50, 7, 34, 35,  x: -1 y: -1, 
JointSetID:  8, |centerDistance: 1 |, conLinks:6, 7, 12, 33, 34, 38, 39, 15,  x: -1 y: 0, 
JointSetID:  12, |centerDistance: 2 |, conLinks:9, 10, 30, 31, 46, 47, 76, 83,  x: 1 y: 1, 
JointSetID:  17, |centerDistance: 1 |, conLinks:13, 14, 8, 9, 40, 41, 47, 44,  x: 0 y: 1, 
JointSetID:  20, |centerDistance: 3 |, conLinks:16, 54, 55, 117, 118, 122, 123, 111,  x: 0 y: -3, 
JointSetID:  21, |centerDistance: 2 |, conLinks:16, 17, 20, 53, 54, 56, 57, 51,  x: 0 y: -2, 
JointSetID:  27, |centerDistance: 2 |, conLinks:21, 22, 2, 3, 27, 74, 75, 52,  x: 1 y: -1, 
JointSetID:  30, |centerDistance: 4 |, conLinks:24, 98, 99,  x: 4 y: 0, 
JointSetID:  31, |centerDistance: 3 |, conLinks:24, 25, 68, 97, 98, 100, 101, 71,  x: 3 y: 0, 
JointSetID:  32, |centerDistance: 2 |, conLinks:25, 26, 28, 29, 68, 69, 64, 23,  x: 2 y: 0, 
JointSetID:  37, |centerDistance: 3 |, conLinks:29, 30, 64, 65, 76, 77, 135, 132,  x: 2 y: 1, 
JointSetID:  40, |centerDistance: 3 |, conLinks:32, 84, 85, 141, 142, 144, 145, 115,  x: -3 y: 0, 
JointSetID:  41, |centerDistance: 2 |, conLinks:32, 33, 39, 85, 86, 88, 89, 48,  x: -2 y: 0, 
JointSetID:  47, |centerDistance: 2 |, conLinks:37, 38, 14, 15, 40, 94, 95, 87,  x: -1 y: 1, 
JointSetID:  52, |centerDistance: 2 |, conLinks:41, 42, 44, 45, 60, 61, 67, 36,  x: 0 y: 2, 
JointSetID:  53, |centerDistance: 3 |, conLinks:42, 43, 60, 157, 158, 162, 163, 63,  x: 0 y: 3, 
JointSetID:  54, |centerDistance: 4 |, conLinks:43, 158, 159,  x: 0 y: 4, 
JointSetID:  57, |centerDistance: 3 |, conLinks:45, 46, 66, 67, 82, 83, 139, 136,  x: 1 y: 2, 
JointSetID:  61, |centerDistance: 3 |, conLinks:48, 49, 35, 89, 90, 104, 105, 112,  x: -2 y: -1, 
JointSetID:  72, |centerDistance: 3 |, conLinks:57, 58, 19, 50, 51, 106, 107, 108,  x: -1 y: -2, 
JointSetID:  73, |centerDistance: 4 |, conLinks:58, 59, 107, 121, 122, 110, 111,  x: -1 y: -3, 
JointSetID:  74, |centerDistance: 1000000000 |, conLinks:59, 120, 121,  x: -1 y: -4, 
JointSetID:  77, |centerDistance: 3 |, conLinks:61, 62, 36, 37, 95, 152, 153, 92,  x: -1 y: 2, 
JointSetID:  78, |centerDistance: 4 |, conLinks:62, 63, 152, 161, 162,  x: -1 y: 3, 
JointSetID:  82, |centerDistance: 4 |, conLinks:65, 66, 134, 135, 138, 139,  x: 2 y: 2, 
JointSetID:  87, |centerDistance: 3 |, conLinks:69, 70, 22, 23, 75, 130, 131, 72,  x: 2 y: -1, 
JointSetID:  91, |centerDistance: 4 |, conLinks:72, 73, 124, 129, 130,  x: 2 y: -2, 
JointSetID:  92, |centerDistance: 3 |, conLinks:73, 74, 52, 53, 56, 124, 125, 119,  x: 1 y: -2, 
JointSetID:  97, |centerDistance: 4 |, conLinks:77, 78, 96, 97, 100, 132, 133,  x: 3 y: 1, 
JointSetID:  98, |centerDistance: 1000000000 |, conLinks:78, 79, 96,  x: 4 y: 1, 
JointSetID:  99, |centerDistance: 1000000000 |, conLinks:79, 
JointSetID:  100, |centerDistance: 1000000000 |, conLinks:80, 
JointSetID:  101, |centerDistance: 1000000000 |, conLinks:80, 81, 156,  x: 1 y: 4, 
JointSetID:  102, |centerDistance: 4 |, conLinks:81, 82, 136, 137, 156, 157, 163,  x: 1 y: 3, 
JointSetID:  113, |centerDistance: 4 |, conLinks:90, 91, 104, 145, 146, 114, 115,  x: -3 y: -1, 
JointSetID:  114, |centerDistance: 1000000000 |, conLinks:91, 146, 147,  x: -4 y: -1, 
JointSetID:  116, |centerDistance: 4 |, conLinks:92, 93, 151, 153, 154,  x: -2 y: 2, 
JointSetID:  117, |centerDistance: 3 |, conLinks:93, 94, 86, 87, 88, 150, 151, 143,  x: -2 y: 1, 
JointSetID:  124, |centerDistance: 1000000000 |, conLinks:99, 
JointSetID:  127, |centerDistance: 4 |, conLinks:101, 102, 70, 71, 131,  x: 3 y: -1, 
JointSetID:  128, |centerDistance: 1000000000 |, conLinks:102, 103, 
JointSetID:  129, |centerDistance: 1000000000 |, conLinks:103, 
JointSetID:  132, |centerDistance: 4 |, conLinks:105, 106, 108, 109, 112, 113,  x: -2 y: -2, 
JointSetID:  137, |centerDistance: 1000000000 |, conLinks:109, 110,  x: -2 y: -3, 
JointSetID:  142, |centerDistance: 1000000000 |, conLinks:113, 114,  x: -3 y: -2, 
JointSetID:  145, |centerDistance: 1000000000 |, conLinks:116, 
JointSetID:  146, |centerDistance: 4 |, conLinks:116, 117, 123,  x: 0 y: -4, 
JointSetID:  150, |centerDistance: 1000000000 |, conLinks:120, 
JointSetID:  157, |centerDistance: 4 |, conLinks:125, 126, 55, 118, 119,  x: 1 y: -3, 
JointSetID:  158, |centerDistance: 1000000000 |, conLinks:126, 127, 
JointSetID:  159, |centerDistance: 1000000000 |, conLinks:127, 
JointSetID:  160, |centerDistance: 1000000000 |, conLinks:128, 
JointSetID:  161, |centerDistance: 1000000000 |, conLinks:128, 129, 
JointSetID:  167, |centerDistance: 1000000000 |, conLinks:133, 134,  x: 3 y: 2, 
JointSetID:  172, |centerDistance: 1000000000 |, conLinks:137, 138,  x: 2 y: 3, 
JointSetID:  175, |centerDistance: 1000000000 |, conLinks:140, 
JointSetID:  176, |centerDistance: 4 |, conLinks:140, 141, 144,  x: -4 y: 0, 
JointSetID:  184, |centerDistance: 1000000000 |, conLinks:147, 
JointSetID:  185, |centerDistance: 1000000000 |, conLinks:148, 
JointSetID:  186, |centerDistance: 1000000000 |, conLinks:148, 149, 
JointSetID:  187, |centerDistance: 4 |, conLinks:149, 150, 84, 142, 143,  x: -3 y: 1, 
JointSetID:  193, |centerDistance: 1000000000 |, conLinks:154, 155, 
JointSetID:  194, |centerDistance: 1000000000 |, conLinks:155, 
JointSetID:  199, |centerDistance: 1000000000 |, conLinks:159, 
JointSetID:  200, |centerDistance: 1000000000 |, conLinks:160, 
JointSetID:  201, |centerDistance: 1000000000 |, conLinks:160, 161, 
LinkID: 0, pJointSet:0, nJointSet:1, boundPair:5, chainType:0, linkType:0, embeded:1
LinkID: 1, pJointSet:1, nJointSet:2, boundPair:11, chainType:0, linkType:1, embeded:1
LinkID: 2, pJointSet:2, nJointSet:27, boundPair:27, chainType:0, linkType:2, embeded:1
LinkID: 3, pJointSet:27, nJointSet:0, boundPair:21, chainType:0, linkType:3, embeded:1
LinkID: 4, pJointSet:5, nJointSet:0, boundPair:18, chainType:1, linkType:0, embeded:1
LinkID: 5, pJointSet:0, nJointSet:1, boundPair:0, chainType:1, linkType:1, embeded:1
LinkID: 6, pJointSet:1, nJointSet:8, boundPair:12, chainType:1, linkType:2, embeded:1
LinkID: 7, pJointSet:8, nJointSet:5, boundPair:34, chainType:1, linkType:3, embeded:1
LinkID: 8, pJointSet:1, nJointSet:17, boundPair:13, chainType:0, linkType:0, embeded:1
LinkID: 9, pJointSet:17, nJointSet:12, boundPair:47, chainType:0, linkType:1, embeded:1
LinkID: 10, pJointSet:12, nJointSet:2, boundPair:31, chainType:0, linkType:2, embeded:1
LinkID: 11, pJointSet:2, nJointSet:1, boundPair:1, chainType:0, linkType:3, embeded:1
LinkID: 12, pJointSet:8, nJointSet:1, boundPair:6, chainType:1, linkType:0, embeded:1
LinkID: 13, pJointSet:1, nJointSet:17, boundPair:8, chainType:1, linkType:1, embeded:1
LinkID: 14, pJointSet:17, nJointSet:47, boundPair:40, chainType:1, linkType:2, embeded:1
LinkID: 15, pJointSet:47, nJointSet:8, boundPair:38, chainType:1, linkType:3, embeded:1
LinkID: 16, pJointSet:20, nJointSet:21, boundPair:54, chainType:1, linkType:0, embeded:1
LinkID: 17, pJointSet:21, nJointSet:0, boundPair:20, chainType:1, linkType:1, embeded:1
LinkID: 18, pJointSet:0, nJointSet:5, boundPair:4, chainType:1, linkType:2, embeded:1
LinkID: 19, pJointSet:5, nJointSet:72, boundPair:50, chainType:1, linkType:3, embeded:1
LinkID: 20, pJointSet:21, nJointSet:0, boundPair:17, chainType:0, linkType:0, embeded:1
LinkID: 21, pJointSet:0, nJointSet:27, boundPair:3, chainType:0, linkType:1, embeded:1
LinkID: 22, pJointSet:27, nJointSet:87, boundPair:75, chainType:0, linkType:2, embeded:1
LinkID: 23, pJointSet:87, nJointSet:32, boundPair:69, chainType:0, linkType:3, embeded:1
LinkID: 24, pJointSet:30, nJointSet:31, boundPair:98, chainType:1, linkType:0, embeded:1
LinkID: 25, pJointSet:31, nJointSet:32, boundPair:68, chainType:1, linkType:1, embeded:1
LinkID: 26, pJointSet:32, nJointSet:2, boundPair:28, chainType:1, linkType:2, embeded:1
LinkID: 27, pJointSet:2, nJointSet:27, boundPair:2, chainType:1, linkType:3, embeded:1
LinkID: 28, pJointSet:2, nJointSet:32, boundPair:26, chainType:1, linkType:0, embeded:1
LinkID: 29, pJointSet:32, nJointSet:37, boundPair:64, chainType:1, linkType:1, embeded:1
LinkID: 30, pJointSet:37, nJointSet:12, boundPair:76, chainType:1, linkType:2, embeded:1
LinkID: 31, pJointSet:12, nJointSet:2, boundPair:10, chainType:1, linkType:3, embeded:1
LinkID: 32, pJointSet:40, nJointSet:41, boundPair:85, chainType:0, linkType:0, embeded:1
LinkID: 33, pJointSet:41, nJointSet:8, boundPair:39, chainType:0, linkType:1, embeded:1
LinkID: 34, pJointSet:8, nJointSet:5, boundPair:7, chainType:0, linkType:2, embeded:1
LinkID: 35, pJointSet:5, nJointSet:61, boundPair:49, chainType:0, linkType:3, embeded:1
LinkID: 36, pJointSet:52, nJointSet:77, boundPair:61, chainType:0, linkType:0, embeded:1
LinkID: 37, pJointSet:77, nJointSet:47, boundPair:95, chainType:0, linkType:1, embeded:1
LinkID: 38, pJointSet:47, nJointSet:8, boundPair:15, chainType:0, linkType:2, embeded:1
LinkID: 39, pJointSet:8, nJointSet:41, boundPair:33, chainType:0, linkType:3, embeded:1
LinkID: 40, pJointSet:47, nJointSet:17, boundPair:14, chainType:1, linkType:0, embeded:1
LinkID: 41, pJointSet:17, nJointSet:52, boundPair:44, chainType:1, linkType:1, embeded:1
LinkID: 42, pJointSet:52, nJointSet:53, boundPair:60, chainType:1, linkType:2, embeded:1
LinkID: 43, pJointSet:53, nJointSet:54, boundPair:158, chainType:1, linkType:3, embeded:1
LinkID: 44, pJointSet:17, nJointSet:52, boundPair:41, chainType:0, linkType:0, embeded:1
LinkID: 45, pJointSet:52, nJointSet:57, boundPair:67, chainType:0, linkType:1, embeded:1
LinkID: 46, pJointSet:57, nJointSet:12, boundPair:83, chainType:0, linkType:2, embeded:1
LinkID: 47, pJointSet:12, nJointSet:17, boundPair:9, chainType:0, linkType:3, embeded:1
LinkID: 48, pJointSet:41, nJointSet:61, boundPair:89, chainType:0, linkType:0, embeded:1
LinkID: 49, pJointSet:61, nJointSet:5, boundPair:35, chainType:0, linkType:1, embeded:1
LinkID: 50, pJointSet:5, nJointSet:72, boundPair:19, chainType:0, linkType:2, embeded:1
LinkID: 51, pJointSet:72, nJointSet:21, boundPair:57, chainType:0, linkType:3, embeded:1
LinkID: 52, pJointSet:27, nJointSet:92, boundPair:74, chainType:1, linkType:0, embeded:1
LinkID: 53, pJointSet:92, nJointSet:21, boundPair:56, chainType:1, linkType:1, embeded:1
LinkID: 54, pJointSet:21, nJointSet:20, boundPair:16, chainType:1, linkType:2, embeded:1
LinkID: 55, pJointSet:20, nJointSet:157, boundPair:118, chainType:1, linkType:3, embeded:1
LinkID: 56, pJointSet:92, nJointSet:21, boundPair:53, chainType:0, linkType:0, embeded:1
LinkID: 57, pJointSet:21, nJointSet:72, boundPair:51, chainType:0, linkType:1, embeded:1
LinkID: 58, pJointSet:72, nJointSet:73, boundPair:107, chainType:0, linkType:2, embeded:1
LinkID: 59, pJointSet:73, nJointSet:74, boundPair:121, chainType:0, linkType:3, embeded:1
LinkID: 60, pJointSet:53, nJointSet:52, boundPair:42, chainType:1, linkType:0, embeded:1
LinkID: 61, pJointSet:52, nJointSet:77, boundPair:36, chainType:1, linkType:1, embeded:1
LinkID: 62, pJointSet:77, nJointSet:78, boundPair:152, chainType:1, linkType:2, embeded:1
LinkID: 63, pJointSet:78, nJointSet:53, boundPair:162, chainType:1, linkType:3, embeded:1
LinkID: 64, pJointSet:32, nJointSet:37, boundPair:29, chainType:0, linkType:0, embeded:1
LinkID: 65, pJointSet:37, nJointSet:82, boundPair:135, chainType:0, linkType:1, embeded:1
LinkID: 66, pJointSet:82, nJointSet:57, boundPair:139, chainType:0, linkType:2, embeded:1
LinkID: 67, pJointSet:57, nJointSet:52, boundPair:45, chainType:0, linkType:3, embeded:1
LinkID: 68, pJointSet:31, nJointSet:32, boundPair:25, chainType:0, linkType:0, embeded:1
LinkID: 69, pJointSet:32, nJointSet:87, boundPair:23, chainType:0, linkType:1, embeded:1
LinkID: 70, pJointSet:87, nJointSet:127, boundPair:131, chainType:0, linkType:2, embeded:1
